session name,session_id,session,track,eventConflicts,chair,length,paper_id,title,authors,chair email
VIS Welcome (8:45am-9:00am)| VGTC Awards (9:00am-9:45am)| Test of Time Awards (9:45am-10:30am),conf1,tues1,Plenary 1,,,1,,Organizers,General Chairs,
VIS Keynote (11:00am-12:00pm),conf2,tues2,Plenary 1,,,1,,Organizers,General Chairs,
VIS Capstone (10:45am-11:45am)| VIS Closing (11:45am-12:00pm),conf3,fri2,105(234),,,1,,Organizers,General Chairs,
VIS Poster Session (4:45pm-6:15pm)| -- includes all Associated Event Posters| -- Exhibit Hall Location: Foyer,conf4,tues5,Plenary 1,,,1,,Organizers,Poster Chairs,
VISAP Opening Reception (6:00pm-8:00pm)| -- Art Exhibit Location: Library at the Docks,conf5,tues6,Plenary 1,,,1,,Organizers,VISAP Chairs,
"VIS Banquet (6:00pm-10:00pm)| -- Location: Melbourne Planetarium| -- Shows at 6, 6:45, and 7:30pm| -- Transport on your own / via myki",conf6,wed5,Plenary 1,,,1,,Organizers,General Chairs,
VIS Opening (2:00pm-2:20pm)| ACC Summary (2:20pm-2:30pm)| Best Papers 1 (2:30pm-3:10pm),full0,tues3,Plenary 1,,Michael Wybrow,1,v-full-1009,Affective Visualization Design: Leveraging the Emotional Impact of Data,"Xingyu Lan, Yanqiu Wu, Nan Cao",
VIS Opening (2:00pm-2:20pm)| ACC Summary (2:20pm-2:30pm)| Best Papers 1 (2:30pm-3:10pm),full0,,,,,1,v-full-1392,Fast Compressed Segmentation Volumes for Scientific Visualization,"Max Piochowiak, Carsten Dachsbacher",
VIS Opening (2:00pm-2:20pm)| ACC Summary (2:20pm-2:30pm)| Best Papers 1 (2:30pm-3:10pm),full0,,,,,1,v-full-1256,"Swaying the Public? Impacts of Election Forecast Visualizations on Emotion, Trust, and Intention in the 2022 U.S. Midterms","Fumeng Yang, Mandi Cai, Chloe Rose Mortenson, Hoda Fakhari, Ayse Deniz Lokmanoglu, Jessica Hullman, Steven L Franconeri, Nicholas Diakopoulos, Erik Nisbet, Matthew Kay",
Best Papers 2 (3:40pm-4:30pm)| -- Includes Best Short Paper,full1,tues4,Plenary 1,,G. Elisabeta Marai,1,v-full-1439,TimeSplines: Sketch-based Authoring of Flexible and Idiosyncratic Timelines,"Anna Offenwanger, Matthew Brehmer, Fanny Chevalier, Theophanis Tsandilas",
Best Papers 2 (3:40pm-4:30pm)| -- Includes Best Short Paper,full1,,,,,1,v-full-1716,Visualization of Discontinuous Vector Field Topology,"Egzon Miftari, Daniel Durstewitz, Filip Sadlo",
Best Papers 2 (3:40pm-4:30pm)| -- Includes Best Short Paper,full1,,,,,1,v-full-1226,Vortex Lens: Interactive Vortex Core Line Extraction using Observed Line Integral Convolution,"Peter Rautek, Xingdi Zhang, Bernhard Woschizka, Thomas Theussl, Markus Hadwiger",
Best Papers 2 (3:40pm-4:30pm)| -- Includes Best Short Paper,full1,,,,,1,v-short-1170,Gridded Glyphmaps for Supporting Spatial COVID-19 Modelling,"Aidan Slingsby, Richard Reeve, Claire Harris",
Visualization for spatial single-cell atlases,app1,thur2,101-102(140),,,1,,Organizers,"Morgan Turner, Eric Moerth, Nils Gehlenborg",
Establishing and Thriving in an Academic Career,panel1,wed4,101-102(140),,,1,,Organizers,"Carolina Nobre, Cindy Xiong Bearfield, Joshua A. Levine, Emily Wall, Dominik Moritz, Evanthia Dimara",
"What is a Visual Analytics contribution, and how is it changing?",panel2,wed2,101-102(140),,,1,,Organizers,"Mennatallah El-Assady, Jürgen Bernard",
How should VIS4ML Redefine Itself in the Rapid Evolution of AI?,panel3,thur4,101-102(140),,,1,,Organizers,"Dylan Cashman, Junpeng Wang, Qianwen Wang, Duen Horng Chau, Mennatallah El-Assady, Liang Gou, Ross Maciejewski, Dominik Moritz",
VISAP Session 1,visap1,wed2,103(132),,,1,,Organizers,"Uta Hinrichs, Rebecca Ruige Xu, Xavier Ho, Rem RunGu Lin, Yongen Ke, Kang Zhang, Myungin Lee, Sabina Hyoju Ahn, Yoojin Oh, JoAnn Kuchera-Morin, Francesca Samsel, Greg Abram, Catherine L. Bowman, Daniel F. Keefe, Midori Yamazaki, Hyemi Song, Yoon Chung Han, Robert Walton, Zaher Joukhadar, Jane L. Adams, Racquel Fygenson, Jane L. Adams",
VISAP Session 2,visap2,thur2,103(132),,,1,,Organizers,"Uta Hinrichs, Rebecca Ruige Xu, Xavier Ho, Yufan Li, Yue Huang, Kang Zhang, Varvara Guljajeva, Junxiu Tang, Rui Sheng, Yifang Wang, Xinhuan Shu, Xiaojiao Chen, Tan Tang, Yingcai Wu, Ignacio Pérez-Messina, Simón López Trujillo, Florian Windhager, Viola Rühse, Michael Smuc, Hannen E. Wolfe, Charlotte Rogerson, Amanda Lilleston, Kimiya Pahlevan, Charles Perin, Xavier Ho, Stephen Krol",
Information Visualization / Interaction,short1,thur3,104(132),,Andreas Kerren,1,v-short-1160,A Simple yet Useful Spiral Visualization of Large Graphs,"Garima Jindal, Kamalakar Karlapalem",
Information Visualization / Interaction,short1,,,,,1,v-short-1189,ProtoGraph: A Non-Expert Toolkit for Creating Animated Graphs,"Machiel Daniel Rodrigues, Joel Dapello, Priyan Vaithilingam, Johanna Beyer, Carolina Nobre",
Information Visualization / Interaction,short1,,,,,1,v-short-1103,Visual Validation versus Visual Estimation: A Study on the Average Value in Scatterplots,"Daniel Braun, Ashley Suh, Remco Chang, Michael Gleicher, Tatiana von Landesberger",
Information Visualization / Interaction,short1,,,,,1,v-short-1014,Line Harp: Importance-Driven Sonification for Dense Line Charts,"Egil Bru, Thomas Trautner, Stefan Bruckner",
Information Visualization / Interaction,short1,,,,,1,v-short-1030,Compact Phase Histograms for Guided Exploration of Periodicity,"Max Franke, Steffen Koch",
Information Visualization / Interaction,short1,,,,,1,v-short-1036,ZADU: A Python Library for Evaluating the Reliability of Dimensionality Reduction Embeddings,"Hyeon Jeon, Aeri Cho, Jinhwa Jang, Soohyun Lee, Jake Hyun, Hyung-Kwon Ko, Jaemin Jo, Jinwook Seo",
Information Visualization / Interaction,short1,,,,,1,v-short-1149,"TimePool: Visually Answer ""Which and When"" Questions On Univariate Time Series","Tinghao Feng, Yueqi Hu, Jing Yang, Tom Polk, Ye Zhao, Shixia Liu, Zhaocong Yang",
Information Visualization / Interaction,short1,,,,,1,v-short-1159,"""Two Heads are Better than One"": Pair-Interviews for Visualization","derya akbaba, Miriah Meyer",
Applications / Design,short2,thur2,104(132),,TBD,1,v-short-1140,Taken By Surprise? Evaluating how Bayesian Surprise & Suppression Influences Peoples' Takeaways in Map Visualizations,"Akim Ndlovu, Hilson Shrestha, Lane Harrison",
Applications / Design,short2,,,,,1,v-short-1071,Towards Autocomplete Strategies for Visualization Construction,"Wei Wei, Samuel Huron, Yvonne Jansen",
Applications / Design,short2,,,,,1,v-short-1116,Indy Survey Tool: A Framework to Unearth Correlations in Survey Data,"Tarik Crnovrsanin, Sara Di Bartolomeo, Connor Wilson, Cody Dunne",
Applications / Design,short2,,,,,1,v-short-1195,Data in the Wind: Evaluating Multiple-Encoding Design for Particle Motion Visualizations,"Yiren Ding, Lane Harrison",
Applications / Design,short2,,,,,1,v-short-1002,Show me my Users: A Dashboard Design Visualizing User Interaction Logs with Interactive Visualization,"Jinrui Wang, Mashael AlKadi, Benjamin Bach",
Applications / Design,short2,,,,,1,v-short-1010,What Is the Difference Between a Mountain and a Molehill? Quantifying Semantic Labeling of Visual Features in Line Charts,"Dennis Bromley, Vidya Setlur",
Applications / Design,short2,,,,,1,v-short-1018,Draco 2: An Extensible Platform to Model Visualization Design,"Junran Yang, Péter Ferenc Gyarmati, Zehua Zeng, Dominik Moritz",
Perception / Evaluation,short3,wed1,104(132),,Lace M. Padilla,1,v-short-1142,Topological Analysis and Approximate Identification of Leading Lines in Artworks Based on Discrete Morse Theory,"Fuminori Shibasaki, Issei Fujishiro",
Perception / Evaluation,short3,,,,,1,v-short-1162,Effects of data distribution and granularity on color semantics for colormap data visualizations,"Clementine Zimnicki, Chin Tseng, Danielle Albers Szafir, Karen Schloss",
Perception / Evaluation,short3,,,,,1,v-short-1190,Let's Get Vis-ical: Perceptual Accuracy in Visual & Tactile Encodings,"Zhongzheng Xu, Emily Wall, Kristin Williams",
Perception / Evaluation,short3,,,,,1,v-short-1092,MinMaxLTTB: Leveraging MinMax-Preselection to Scale LTTB,"Jeroen Van Der Donckt, Jonas Van Der Donckt, Dr. Ir. Michael Rademaker, Sofie Van Hoecke",
Perception / Evaluation,short3,,,,,1,v-short-1066,Do You Trust What You See? Toward A Multidimensional Measure of Trust in Visualization,"Saugat Pandey, Oen G McKinley, R. Jordan Crouser, Alvitta Ottley",
Perception / Evaluation,short3,,,,,1,v-short-1138,reVISit: Supporting Scalable Evaluation of Interactive Visualizations,"Yiren Ding, Jack Wilburn, Hilson Shrestha, Akim Ndlovu, Kiran Gadhave, Carolina Nobre, Alexander Lex, Lane Harrison",
Perception / Evaluation,short3,,,,,1,v-short-1133,Augmented Reality for Scholarly Publication of 3D Visualizations in Astronomy: An Empirical Evaluation,"Jane L. Adams, Laura South, Arzu Çöltekin, Alyssa Goodman, Michelle A. Borkin",
Perception / Evaluation,short3,,,,,1,v-short-1137,Comparing Morse Complexes Using Optimal Transport: An Experimental Study,"Mingzhe Li, Carson Storm, Austin Yang Li, Tom Needham, Bei Wang Phillips",
Scientific Visualization (Short),short4,wed3,104(132),,Paul Rosen,1,v-short-1057,Visualizing Query Traversals Over Bounding Volume Hierarchies Using Treemaps,"Abhishek Madan, Carolina Nobre",
Scientific Visualization (Short),short4,,,,,1,v-short-1089,Visual Analysis of Large Multi-Field AMR Data on GPUs Using Interactive Volume Lines,"Stefan Zellmann, Serkan Demirci, Ugur Gudukbay",
Scientific Visualization (Short),short4,,,,,1,v-short-1154,Fast Fiber Line Extraction for 2D Bivariate Scalar Fields,"Felix Raith, Baldwin Nsonga, Gerik Scheuermann, Christian Heine",
Scientific Visualization (Short),short4,,,,,1,v-short-1157,GeneticFlow: Exploring Scholar Impact with Interactive Visualization,"Fengli Xiao, Lei Shi",
Scientific Visualization (Short),short4,,,,,1,v-short-1171,Visualizing Similarity of Pathline Dynamics in 2D Flow Fields,"Baldwin Nsonga, Gerik Scheuermann",
Scientific Visualization (Short),short4,,,,,1,v-short-1114,Evaluation of cinematic volume rendering open-source and commercial solutions for the exploration of congenital heart data,"Irum Baseer, Israel Valverde, Abdel H. Moustafa, Josep Blat, Oscar Camara",
Scientific Visualization (Short),short4,,,,,1,v-short-1182,ExoplanetExplorer: Contextual Visualization of Exoplanet Systems,"Emma Broman, Jacqueline Faherty, Laura Kreidberg, Sebastian Zieba, Charles Hansen, Anders Ynnerman, Alexander Bock",
Scientific Visualization (Short),short4,,,,,1,v-short-1053,A Visualization System for Hexahedral Mesh Quality Study,"Lei Si, Guoning Chen",
